,Company_Name,Ratings,Company_Type,Total_Employees,Sector,Total_Years,Head_Quaters,Total_Review_Count,Avg_salaries,Avg_Interview,Avg_Jobs,Benifits
73,Amazon Development Centre India,4.1,Internet , 10k-50k Employees , Hyderabad/Secunderabad +58 more,,,4.5k Reviews, 4.7k Salaries, 337 Interviews, 29  Jobs, 44  Benefits
74,IIFL Finance,4.1,Financial Services , 10k-50k Employees , Public , 28 years old , Mumbai +619 more,4.5k Reviews, 17.3k Salaries, 201 Interviews, 137  Jobs, 437  Benefits
75,Quess,4.1,Recruitment , 1 Lakh+ Employees , Public , 16 years old , Bangalore +468 more,4.5k Reviews, 22k Salaries, 250 Interviews, 238  Jobs, 457  Benefits
76,TATA Steel,4.1,Iron & Steel , 1 Lakh+ Employees , Public , 116 years old , Mumbai +147 more,4.3k Reviews, 20.2k Salaries, 413 Interviews, 42  Jobs, 653  Benefits
77,Hexaware Technologies,4.1,IT Services & Consulting , 10k-50k Employees , Fortune India 500 , 33 years old , Mumbai +39 more,4.3k Reviews, 41.1k Salaries, 356 Interviews, 334  Jobs, 579  Benefits
78,KPMG India,4.1,Management Consulting , 10k-50k Employees , 36 years old , Bengaluru/Bangalore +73 more,,4.3k Reviews, 53.6k Salaries, 466 Interviews, 488  Jobs, 778  Benefits
79,Sun Pharmaceutical Industries,4.1,Pharma , 10k-50k Employees , Public , 40 years old , Mumbai +182 more,4.3k Reviews, 19.3k Salaries, 218 Interviews, 113  Jobs, 632  Benefits
80,Home Credit Finance,4.1,Financial Services , 10k-50k Employees , 11 years old , Gurugram +109 more,,4.2k Reviews, 11.8k Salaries, 91 Interviews, 101  Jobs, 627  Benefits
81,JSW Steel,4.1,Iron & Steel , 10k-50k Employees , Public , 41 years old , Mumbai +121 more,4.2k Reviews, 22.6k Salaries, 327 Interviews, 67  Jobs, 618  Benefits
82,Ujjivan Small Finance Bank,4.1,Banking , 10k-50k Employees , Public , 6 years old , Bangalore/Bengaluru +411 more,4.1k Reviews, 12.3k Salaries, 139 Interviews, 20  Jobs, 594  Benefits
83,Shapoorji Pallonji Group,4.1,Engineering & Construction , 5k-10k Employees , Conglomerate , 158 years old , Mumbai +152 more,4.1k Reviews, 15k Salaries, 219 Interviews, 30  Jobs, 656  Benefits
84,Oracle,4.1,Software Product , 50k-1 Lakh Employees , Public , 46 years old , Austin +39 more,4.1k Reviews, 49k Salaries, 490 Interviews, 194  Jobs, 632  Benefits
85,OPPO,4.1,Consumer Electronics & Appliances , 10k-50k Employees , Public , 19 years old , Dongguan +354 more,4.1k Reviews, 13.6k Salaries, 162 Interviews, 9  Jobs, 648  Benefits
86,Max Life Insurance,4.1,Insurance , 10k-50k Employees , 23 years old , Gurgaon/Gurugram +362 more,,4.1k Reviews, 15.5k Salaries, 175 Interviews, 408  Jobs, 506  Benefits
87,Aurobindo Pharma,4.1,Pharma , 10k-50k Employees , Public , 37 years old , Hyderabad/Secunderabad +72 more,4k Reviews, 21.4k Salaries, 161 Interviews, 6  Jobs, 489  Benefits
